Classifier,Score,ngrams upper bound,Execution Time
Liblinear SVM,0.3061430337736708,1,0.005199027061462402
Liblinear SVM,0.30227533292177444,2,0.006046891212463379
Liblinear SVM,0.3055593836994569,3,0.006399869918823242
Liblinear SVM,0.30108541764983476,4,0.007498836517333985
Liblinear SVM,0.30239377834552517,5,0.006299781799316406
Liblinear SVM,0.3002638565336,6,0.0056994915008544925
Liblinear SVM,0.30374348444163635,7,0.0051983118057250975
Liblinear SVM,0.29157299267110887,8,0.0060988664627075195
Liblinear SVM,0.29787907565685334,9,0.005499887466430664
Liblinear SVM,0.30272244144602856,10,0.005499744415283203
