Classifier,Score,upper bound ngrams,Execution Time
Multinomial NB,0.7620896737314213,1,0.006900691986083984
Multinomial NB,0.7639154856027695,2,0.005900025367736816
Multinomial NB,0.7636307121784345,3,0.0027999639511108398
Multinomial NB,0.7628703980530414,4,0.007335662841796875
Multinomial NB,0.7625374176478631,5,0.007686972618103027
Multinomial NB,0.7633791308587446,6,0.002754402160644531
Multinomial NB,0.7629380518453044,7,0.005544328689575195
Multinomial NB,0.7631239256142822,8,0.005216383934020996
Multinomial NB,0.7623684426635049,9,0.003760242462158203
Multinomial NB,0.7623997684461907,10,0.007401013374328613
