Classifier,Score,C-value,Execution Time
Liblinear SVM,0.4098352682697762,0.01,1.2241860389709474
Liblinear SVM,0.5461366197378199,0.02,1.1782727241516113
Liblinear SVM,0.6081925755182689,0.03,1.1800905466079712
Liblinear SVM,0.6424000937028232,0.04,1.1789736986160277
Liblinear SVM,0.6659069592809586,0.05,1.2033828020095825
Liblinear SVM,0.681458250148128,0.06,1.1804834604263306
Liblinear SVM,0.6918297792414628,0.07,1.1787870168685912
Liblinear SVM,0.6995879451254727,0.08,1.1799959897994996
Liblinear SVM,0.705419742486587,0.09,1.1938908100128174
Liblinear SVM,0.7096738686291766,0.1,1.19487407207489
Liblinear SVM,0.7130854766264239,0.11,1.1952913522720336
Liblinear SVM,0.7172663406907782,0.12,1.2141845703125
Liblinear SVM,0.7193776791528016,0.13,1.287632131576538
Liblinear SVM,0.7208997421564276,0.14,1.2822781562805177
Liblinear SVM,0.7228521271330124,0.15,1.2288986921310425
Liblinear SVM,0.7243983729047274,0.16,1.2806194305419922
Liblinear SVM,0.7259792519315366,0.17,1.1970473527908325
Liblinear SVM,0.7272042081106989,0.18,1.221082043647766
Liblinear SVM,0.7286770524459742,0.19,1.1890958309173585
Liblinear SVM,0.7295626537122502,0.2,1.2247048616409302
Liblinear SVM,0.7308657645662194,0.21,1.2502854585647583
Liblinear SVM,0.7312230877359246,0.22,1.1905838251113892
Liblinear SVM,0.7317504776029753,0.23,1.1886881351470948
Liblinear SVM,0.7326453799664905,0.24,1.1880821943283082
Liblinear SVM,0.7333209698483542,0.25,1.1829802513122558
Liblinear SVM,0.7340357182537958,0.26,1.206699752807617
Liblinear SVM,0.7342663688417406,0.27,1.3043887615203857
Liblinear SVM,0.7349455536556617,0.28,1.280088186264038
Liblinear SVM,0.7356560403495844,0.29,1.2979816913604736
Liblinear SVM,0.7362656151665524,0.3,1.3018778085708618
Liblinear SVM,0.7361172465453565,0.31,1.2948726892471314
Liblinear SVM,0.7365803351586706,0.32,1.2950342416763305
Liblinear SVM,0.7371664649894882,0.33,1.2798813581466675
Liblinear SVM,0.7370998196988132,0.34,1.326047921180725
Liblinear SVM,0.7367272190052425,0.35,1.3206832885742188
Liblinear SVM,0.7369877504166039,0.36,1.303484034538269
Liblinear SVM,0.73728720357247,0.37,1.2837979793548584
Liblinear SVM,0.7370098343944136,0.38,1.3005868196487427
Liblinear SVM,0.7373306207428215,0.39,1.3007827997207642
Liblinear SVM,0.73720327020779,0.4,1.292879319190979
Liblinear SVM,0.7375951598745902,0.41,1.2856823205947876
Liblinear SVM,0.7375992148216324,0.42,1.3124887704849244
Liblinear SVM,0.7378318743149364,0.43,1.2798826932907104
Liblinear SVM,0.7381056193923234,0.44,1.2822762966156005
Liblinear SVM,0.737642615118441,0.45,1.277589201927185
Liblinear SVM,0.737466388720239,0.46,1.3019736766815186
Liblinear SVM,0.7374414642747222,0.47,1.2822803258895874
Liblinear SVM,0.7377496860038226,0.48,1.2827868700027465
Liblinear SVM,0.7378174988230293,0.49,1.2853753805160522
Liblinear SVM,0.7377725854284359,0.5,1.282792329788208
Liblinear SVM,0.737672108126433,0.51,1.294181513786316
Liblinear SVM,0.7378865765863208,0.52,1.2839895963668824
Liblinear SVM,0.7382075100905113,0.53,1.2830777168273926
Liblinear SVM,0.7383255746726427,0.54,1.2876750946044921
Liblinear SVM,0.7384875584201858,0.55,1.2980761766433715
Liblinear SVM,0.7385249711553648,0.56,1.3259290218353272
Liblinear SVM,0.738606946076389,0.57,1.2973754405975342
Liblinear SVM,0.7382839435080802,0.58,1.2912821054458619
Liblinear SVM,0.73836485883121,0.59,1.2846879243850708
Liblinear SVM,0.7384170182849177,0.6,1.291488242149353
Liblinear SVM,0.7381802802279802,0.61,1.2926904439926148
Liblinear SVM,0.7379958865792051,0.62,1.299780249595642
Liblinear SVM,0.7381454903514915,0.63,1.2949957609176637
Liblinear SVM,0.7379133575225546,0.64,1.2909841060638427
Liblinear SVM,0.7380491598538841,0.65,1.2828881025314331
Liblinear SVM,0.7380827982109911,0.66,1.297990870475769
Liblinear SVM,0.7382675659142818,0.67,1.3177923917770387
Liblinear SVM,0.7382151064539224,0.68,1.2880740642547608
Liblinear SVM,0.7382957636598249,0.69,1.2842841863632202
Liblinear SVM,0.7382197112450667,0.7,1.2866900205612182
Liblinear SVM,0.7382664513602659,0.71,1.3073873281478883
Liblinear SVM,0.7380893348175808,0.72,1.2955847024917602
Liblinear SVM,0.7378899971339532,0.73,1.2876818180084229
Liblinear SVM,0.7379369987889404,0.74,1.2906830549240111
Liblinear SVM,0.7376083441546505,0.75,1.2939874172210692
Liblinear SVM,0.737620035235256,0.76,1.2966859340667725
Liblinear SVM,0.7379349200844278,0.77,1.297777271270752
Liblinear SVM,0.7382178231089175,0.78,1.2853778839111327
Liblinear SVM,0.7383873420011196,0.79,1.3034905672073365
Liblinear SVM,0.7383571759886096,0.8,1.3062891483306884
Liblinear SVM,0.7384812980134302,0.81,1.3015908241271972
Liblinear SVM,0.7387544788795535,0.82,1.2868840217590332
Liblinear SVM,0.7382306567696316,0.83,1.2822852373123168
Liblinear SVM,0.7381241558961218,0.84,1.3024938821792602
Liblinear SVM,0.738037050072937,0.85,1.2771876335144043
Liblinear SVM,0.7379398482276642,0.86,1.2833877086639405
Liblinear SVM,0.7378945246581561,0.87,1.2831912994384767
Liblinear SVM,0.737738029611168,0.88,1.2842853307723998
Liblinear SVM,0.7373584531659398,0.89,1.2892844676971436
Liblinear SVM,0.7373503151435826,0.9,1.2878918647766113
