Classifier,Score,Alpha,Execution Time
Multinomial NB,0.25045695710576993,0.01,0.07833116054534912
Multinomial NB,0.25045695710576993,0.02,0.0770533561706543
Multinomial NB,0.25045695710576993,0.03,0.07685317993164062
Multinomial NB,0.25045695710576993,0.04,0.08699343204498292
Multinomial NB,0.25045695710576993,0.05,0.08709547519683838
Multinomial NB,0.25045695710576993,0.06,0.08165581226348877
Multinomial NB,0.25045695710576993,0.07,0.08686616420745849
Multinomial NB,0.25045695710576993,0.08,0.07747344970703125
Multinomial NB,0.25045695710576993,0.09,0.08055410385131836
Multinomial NB,0.25045695710576993,0.1,0.07404882907867431
Multinomial NB,0.25045695710576993,0.11,0.07406818866729736
Multinomial NB,0.25045695710576993,0.12,0.08097593784332276
Multinomial NB,0.25045695710576993,0.13,0.07505733966827392
Multinomial NB,0.25045695710576993,0.14,0.07995233535766602
Multinomial NB,0.25045695710576993,0.15,0.08524916172027588
Multinomial NB,0.25045695710576993,0.16,0.08135545253753662
Multinomial NB,0.25045695710576993,0.17,0.08365144729614257
Multinomial NB,0.25045695710576993,0.18,0.08248870372772217
Multinomial NB,0.25045695710576993,0.19,0.08372359275817871
Multinomial NB,0.25045695710576993,0.2,0.07941596508026123
Multinomial NB,0.25045695710576993,0.21,0.08492980003356934
Multinomial NB,0.25045695710576993,0.22,0.08375129699707032
Multinomial NB,0.25045695710576993,0.23,0.08304741382598876
Multinomial NB,0.25045695710576993,0.24,0.07989668846130371
Multinomial NB,0.25033908802786065,0.25,0.08209962844848633
Multinomial NB,0.25033908802786065,0.26,0.0761564016342163
Multinomial NB,0.25033908802786065,0.27,0.08284940719604492
Multinomial NB,0.25033908802786065,0.28,0.0734968900680542
Multinomial NB,0.25033908802786065,0.29,0.0825495958328247
Multinomial NB,0.25033908802786065,0.3,0.07872087955474853
Multinomial NB,0.2502235496502332,0.31,0.07150056362152099
Multinomial NB,0.2502235496502332,0.32,0.08119730949401856
Multinomial NB,0.2502235496502332,0.33,0.07435731887817383
Multinomial NB,0.2502235496502332,0.34,0.07605435848236083
Multinomial NB,0.2502235496502332,0.35,0.07987585067749023
Multinomial NB,0.2502235496502332,0.36,0.0799903392791748
Multinomial NB,0.2502235496502332,0.37,0.07539825439453125
Multinomial NB,0.2502235496502332,0.38,0.07845475673675537
Multinomial NB,0.2502235496502332,0.39,0.0826540470123291
Multinomial NB,0.2502235496502332,0.4,0.0742600679397583
Multinomial NB,0.2502235496502332,0.41,0.08804852962493896
Multinomial NB,0.2502235496502332,0.42,0.08025689125061035
Multinomial NB,0.2502235496502332,0.43,0.08116493225097657
Multinomial NB,0.25024080034462653,0.44,0.08119933605194092
Multinomial NB,0.25024080034462653,0.45,0.0840597152709961
Multinomial NB,0.25024080034462653,0.46,0.073557448387146
Multinomial NB,0.25024080034462653,0.47,0.07949879169464111
Multinomial NB,0.25024080034462653,0.48,0.0743553638458252
Multinomial NB,0.2502569299615093,0.49,0.07835438251495361
Multinomial NB,0.2502569299615093,0.5,0.07581112384796143
Multinomial NB,0.2502569299615093,0.51,0.08470134735107422
Multinomial NB,0.2502569299615093,0.52,0.08175408840179443
Multinomial NB,0.2502569299615093,0.53,0.07594659328460693
Multinomial NB,0.2501413478319639,0.54,0.07730405330657959
Multinomial NB,0.2501413478319639,0.55,0.07765481472015381
Multinomial NB,0.2501413478319639,0.56,0.07886817455291747
Multinomial NB,0.2501413478319639,0.57,0.08057501316070556
Multinomial NB,0.2501413478319639,0.58,0.08165178298950196
Multinomial NB,0.2501413478319639,0.59,0.07632942199707031
Multinomial NB,0.2501413478319639,0.6,0.08192293643951416
Multinomial NB,0.2501413478319639,0.61,0.08005344867706299
Multinomial NB,0.2501413478319639,0.62,0.07475652694702148
Multinomial NB,0.2501413478319639,0.63,0.07260408401489257
Multinomial NB,0.2501413478319639,0.64,0.0733673095703125
Multinomial NB,0.2501413478319639,0.65,0.07220518589019775
Multinomial NB,0.2500234335157681,0.66,0.06985979080200196
Multinomial NB,0.2500234335157681,0.67,0.07265772819519042
Multinomial NB,0.2500234335157681,0.68,0.07186124324798585
Multinomial NB,0.2500234335157681,0.69,0.07799689769744873
Multinomial NB,0.2500234335157681,0.7,0.07095890045166016
Multinomial NB,0.2500234335157681,0.71,0.0746570348739624
Multinomial NB,0.2500234335157681,0.72,0.0755544662475586
Multinomial NB,0.2500234335157681,0.73,0.0723569393157959
Multinomial NB,0.2500234335157681,0.74,0.08085217475891113
Multinomial NB,0.2500234335157681,0.75,0.0858900785446167
Multinomial NB,0.2500234335157681,0.76,0.08095340728759766
Multinomial NB,0.2500234335157681,0.77,0.07898311614990235
Multinomial NB,0.2500234335157681,0.78,0.07577798366546631
Multinomial NB,0.2500234335157681,0.79,0.07610468864440918
Multinomial NB,0.2500234335157681,0.8,0.07984006404876709
Multinomial NB,0.2500234335157681,0.81,0.08557460308074952
Multinomial NB,0.2500234335157681,0.82,0.07925279140472412
Multinomial NB,0.2500234335157681,0.83,0.07607321739196778
Multinomial NB,0.2500234335157681,0.84,0.08425683975219726
Multinomial NB,0.2500234335157681,0.85,0.0767432451248169
Multinomial NB,0.2500234335157681,0.86,0.08280181884765625
Multinomial NB,0.2500234335157681,0.87,0.07988097667694091
Multinomial NB,0.2500234335157681,0.88,0.07815487384796142
Multinomial NB,0.2500234335157681,0.89,0.0744555950164795
Multinomial NB,0.2500234335157681,0.9,0.07255921363830567
Multinomial NB,0.2500234335157681,0.91,0.07315578460693359
Multinomial NB,0.2500234335157681,0.92,0.07026047706604004
Multinomial NB,0.2500234335157681,0.93,0.07175829410552978
Multinomial NB,0.2500234335157681,0.94,0.07265803813934327
Multinomial NB,0.2500234335157681,0.95,0.07405643463134766
Multinomial NB,0.2500234335157681,0.96,0.07355530261993408
Multinomial NB,0.24990782067488232,0.97,0.07287740707397461
Multinomial NB,0.24990782067488232,0.98,0.07188282012939454
Multinomial NB,0.24978987474203115,0.99,0.07197093963623047
Multinomial NB,0.24978987474203115,1.0,0.07165889739990235
Bernoulli NB,0.010959597243373753,0.01,0.16729471683502198
Bernoulli NB,0.010959597243373753,0.02,0.16023194789886475
Bernoulli NB,0.010959597243373753,0.03,0.15723049640655518
Bernoulli NB,0.010959597243373753,0.04,0.1518153190612793
Bernoulli NB,0.006252944773446993,0.05,0.16300406455993652
Bernoulli NB,0.006252944773446993,0.06,0.1566678762435913
Bernoulli NB,0.006252944773446993,0.07,0.17090144157409667
Bernoulli NB,0.006252944773446993,0.08,0.16340513229370118
Bernoulli NB,0.006252944773446993,0.09,0.16746876239776612
Bernoulli NB,0.006252944773446993,0.1,0.16057679653167725
Bernoulli NB,0.006252944773446993,0.11,0.16601245403289794
Bernoulli NB,0.006252944773446993,0.12,0.15432422161102294
Bernoulli NB,0.006252944773446993,0.13,0.16406805515289308
Bernoulli NB,0.006252944773446993,0.14,0.15465288162231444
Bernoulli NB,0.006252944773446993,0.15,0.18284995555877687
Bernoulli NB,0.006252944773446993,0.16,0.15900812149047852
Bernoulli NB,0.006252944773446993,0.17,0.1596118688583374
Bernoulli NB,0.006252944773446993,0.18,0.16634125709533693
Bernoulli NB,0.006252944773446993,0.19,0.17576804161071777
Bernoulli NB,0.006252944773446993,0.2,0.17719817161560059
Bernoulli NB,0.006252944773446993,0.21,0.16470470428466796
Bernoulli NB,0.006252944773446993,0.22,0.15565659999847412
Bernoulli NB,0.006252944773446993,0.23,0.1665019989013672
Bernoulli NB,0.006252944773446993,0.24,0.16246800422668456
Bernoulli NB,0.006252944773446993,0.25,0.1655019998550415
Bernoulli NB,0.006252944773446993,0.26,0.1615137577056885
Bernoulli NB,0.006252944773446993,0.27,0.15674140453338622
Bernoulli NB,0.006252944773446993,0.28,0.16280086040496827
Bernoulli NB,0.006252944773446993,0.29,0.16050877571105956
Bernoulli NB,0.006252944773446993,0.3,0.172727632522583
Bernoulli NB,0.006252944773446993,0.31,0.16405096054077148
Bernoulli NB,0.006252944773446993,0.32,0.17492306232452393
Bernoulli NB,0.006252944773446993,0.33,0.17051517963409424
Bernoulli NB,0.006252944773446993,0.34,0.18328709602355958
Bernoulli NB,0.006252944773446993,0.35,0.17728931903839112
Bernoulli NB,0.006252944773446993,0.36,0.17568485736846923
Bernoulli NB,0.006252944773446993,0.37,0.17649829387664795
Bernoulli NB,0.006252944773446993,0.38,0.17173433303833008
Bernoulli NB,0.006252944773446993,0.39,0.17454228401184083
Bernoulli NB,0.006252944773446993,0.4,0.16957151889801025
Bernoulli NB,0.006252944773446993,0.41,0.15671989917755128
Bernoulli NB,0.006252944773446993,0.42,0.16390652656555177
Bernoulli NB,0.006252944773446993,0.43,0.1549534320831299
Bernoulli NB,0.006252944773446993,0.44,0.17310190200805664
Bernoulli NB,0.006252944773446993,0.45,0.1655869960784912
Bernoulli NB,0.006252944773446993,0.46,0.16182143688201905
Bernoulli NB,0.006252944773446993,0.47,0.16070988178253173
Bernoulli NB,0.006252944773446993,0.48,0.17619564533233642
Bernoulli NB,0.006252944773446993,0.49,0.15804603099822997
Bernoulli NB,0.006252944773446993,0.5,0.16693098545074464
Bernoulli NB,0.006252944773446993,0.51,0.17058267593383789
Bernoulli NB,0.006252944773446993,0.52,0.16348376274108886
Bernoulli NB,0.006252944773446993,0.53,0.18830394744873047
Bernoulli NB,0.006252944773446993,0.54,0.17571094036102294
Bernoulli NB,0.006252944773446993,0.55,0.17520060539245605
Bernoulli NB,0.006252944773446993,0.56,0.1731013536453247
Bernoulli NB,0.006252944773446993,0.57,0.16080691814422607
Bernoulli NB,0.006252944773446993,0.58,0.16193697452545167
Bernoulli NB,0.006252944773446993,0.59,0.1638036012649536
Bernoulli NB,0.006252944773446993,0.6,0.16155316829681396
Bernoulli NB,0.006252944773446993,0.61,0.16498219966888428
Bernoulli NB,0.006252944773446993,0.62,0.17259671688079833
Bernoulli NB,0.006252944773446993,0.63,0.16325790882110597
Bernoulli NB,0.006252944773446993,0.64,0.166298246383667
Bernoulli NB,0.006252944773446993,0.65,0.15651090145111085
Bernoulli NB,0.0020407009685171887,0.66,0.1614298105239868
Bernoulli NB,0.0020407009685171887,0.67,0.16637187004089354
Bernoulli NB,0.0020407009685171887,0.68,0.17661666870117188
Bernoulli NB,0.0020407009685171887,0.69,0.16490485668182372
Bernoulli NB,0.0020407009685171887,0.7,0.16945865154266357
Bernoulli NB,0.0020407009685171887,0.71,0.16287190914154054
Bernoulli NB,0.0020407009685171887,0.72,0.1551891326904297
Bernoulli NB,0.0020407009685171887,0.73,0.17301726341247559
Bernoulli NB,0.0020407009685171887,0.74,0.17999639511108398
Bernoulli NB,0.0020407009685171887,0.75,0.1576092481613159
Bernoulli NB,0.0020407009685171887,0.76,0.15800833702087402
Bernoulli NB,0.0020407009685171887,0.77,0.14871525764465332
Bernoulli NB,0.0020407009685171887,0.78,0.15433740615844727
Bernoulli NB,0.0020407009685171887,0.79,0.17691524028778077
Bernoulli NB,0.0020407009685171887,0.8,0.15724053382873535
Bernoulli NB,0.0020407009685171887,0.81,0.1558156967163086
Bernoulli NB,0.0020407009685171887,0.82,0.1559262752532959
Bernoulli NB,0.0020407009685171887,0.83,0.15516881942749022
Bernoulli NB,0.0020407009685171887,0.84,0.17351114749908447
Bernoulli NB,0.0020407009685171887,0.85,0.17834198474884033
Bernoulli NB,0.0020407009685171887,0.86,0.15834496021270753
Bernoulli NB,0.0020407009685171887,0.87,0.1804586410522461
Bernoulli NB,0.0020407009685171887,0.88,0.1770003318786621
Bernoulli NB,0.0020407009685171887,0.89,0.17360880374908447
Bernoulli NB,0.0020407009685171887,0.9,0.17645540237426757
Bernoulli NB,0.0020407009685171887,0.91,0.17650289535522462
Bernoulli NB,0.0020407009685171887,0.92,0.16466426849365234
Bernoulli NB,0.0020407009685171887,0.93,0.16470515727996826
Bernoulli NB,0.0020407009685171887,0.94,0.16231968402862548
Bernoulli NB,0.0020407009685171887,0.95,0.16401615142822265
Bernoulli NB,0.0020407009685171887,0.96,0.1579604148864746
Bernoulli NB,0.0020407009685171887,0.97,0.15992348194122313
Bernoulli NB,0.0020407009685171887,0.98,0.16953539848327637
Bernoulli NB,0.0020407009685171887,0.99,0.17389955520629882
Bernoulli NB,0.0020407009685171887,1.0,0.16260571479797364
