Classifier,Score,Vector Size,Execution Time
Multinomial NB,0,20,0.010004163
Multinomial NB,0,40,0.014399695
Multinomial NB,0,60,0.025444174
Multinomial NB,0,80,0.029910374
Multinomial NB,0,100,0.026698852
Multinomial NB,0.000852312,120,0.032987285
Multinomial NB,0.004756253,140,0.038943338
Multinomial NB,0.028501697,160,0.060213876
Multinomial NB,0.058440757,180,0.054459763
Multinomial NB,0.125285719,200,0.052904272
Multinomial NB,0.134803725,220,0.059861207
Multinomial NB,0.168372767,240,0.094174314
Multinomial NB,0.202517841,260,0.087131
Multinomial NB,0.238603108,280,0.077597356
Multinomial NB,0.217708246,300,0.084170079
Multinomial NB,0.275205246,320,0.121829677
Multinomial NB,0.327735673,340,0.094009304
Multinomial NB,0.307305686,360,0.097926044
Multinomial NB,0.369932192,380,0.145036173
Multinomial NB,0.379231981,400,0.098429489
Multinomial NB,0.392236453,420,0.172476149
Multinomial NB,0.411592079,440,0.112217331
Multinomial NB,0.392581315,460,0.203666997
Multinomial NB,0.392296303,480,0.124226356
Multinomial NB,0.410257329,500,0.157263565
Multinomial NB,0.399758971,520,0.160291839
Multinomial NB,0.431801187,540,0.159581637
Multinomial NB,0.440241052,560,0.136521649
Multinomial NB,0.423633643,580,0.284726214
Multinomial NB,0.456383121,600,0.159572554
Multinomial NB,0.459112393,620,0.259311485
Multinomial NB,0.4693196,640,0.182143426
Multinomial NB,0.444765681,660,0.324187636
Multinomial NB,0.457490724,680,0.194666839
Multinomial NB,0.461873849,700,0.251384449
Multinomial NB,0.461970333,720,0.183545566
Multinomial NB,0.467261338,740,0.203723502
Multinomial NB,0.481853943,760,0.209805965
Multinomial NB,0.479055982,780,0.210172987
Multinomial NB,0.471587583,800,0.205280471
Multinomial NB,0.474811723,820,0.218019915
Multinomial NB,0.487228253,840,0.601064014
Multinomial NB,0.485658309,860,0.230134654
Multinomial NB,0.49246181,880,0.229561949
Multinomial NB,0.494957983,900,0.346684504
Multinomial NB,0.504138048,920,0.238214302
Multinomial NB,0.495387545,940,0.242266083
Multinomial NB,0.485696012,960,0.355674648
Multinomial NB,0.507608263,980,0.262362385
Multinomial NB,0.505093049,1000,0.321012378
Multinomial NB,0.505459002,1020,0.261767578
Multinomial NB,0.506468731,1040,0.320059371
Multinomial NB,0.508199327,1060,0.26918602
Multinomial NB,0.509787969,1080,0.26957047
Multinomial NB,0.510402975,1100,0.269599867
Multinomial NB,0.504710624,1120,0.283263087
Multinomial NB,0.511878011,1140,0.289192486
Multinomial NB,0.516966121,1160,0.319577241
Multinomial NB,0.51112068,1180,0.306236672
Multinomial NB,0.513906083,1200,0.305838823
Multinomial NB,0.515117467,1220,0.293917799
Multinomial NB,0.520621976,1240,0.331047988
Multinomial NB,0.516662616,1260,0.381370878
Multinomial NB,0.509895311,1280,0.359798384
Multinomial NB,0.522208196,1300,0.328000069
Multinomial NB,0.510666397,1320,0.436653209
Multinomial NB,0.514021729,1340,0.332737136
Multinomial NB,0.530343635,1360,0.334808159
Multinomial NB,0.517525914,1380,0.402188301
Multinomial NB,0.526417543,1400,0.620634174
Multinomial NB,0.522623904,1420,0.354147553
Multinomial NB,0.52284338,1440,0.439594102
Multinomial NB,0.518139365,1460,0.530917549
Multinomial NB,0.524793149,1480,0.350213575
Multinomial NB,0.521469871,1500,0.364334488
Multinomial NB,0.520540758,1520,0.519966221
Multinomial NB,0.526645807,1540,0.375943732
Multinomial NB,0.527997779,1560,0.376048875
Multinomial NB,0.528516594,1580,0.576555085
Multinomial NB,0.530706306,1600,0.393119621
Multinomial NB,0.52877599,1620,0.38952632
Multinomial NB,0.533323859,1640,0.5321738
Multinomial NB,0.527110245,1660,0.666846967
Multinomial NB,0.53761717,1680,0.405566096
Multinomial NB,0.524938121,1700,0.408529258
Multinomial NB,0.527932423,1720,0.613750434
Multinomial NB,0.525040323,1740,0.419766951
Multinomial NB,0.530131481,1760,0.445010138
Multinomial NB,0.535006695,1780,0.529837847
Multinomial NB,0.531029502,1800,0.626258969
Multinomial NB,0.532984625,1820,0.443669796
Multinomial NB,0.532660318,1840,0.481460214
Multinomial NB,0.530432414,1860,0.657648921
Multinomial NB,0.532153806,1880,0.69108808
Multinomial NB,0.534780037,1900,0.45928998
Multinomial NB,0.534355133,1920,0.635947752
Multinomial NB,0.531573811,1940,0.633220983
Multinomial NB,0.527950027,1960,0.602515817
Multinomial NB,0.531620926,1980,0.47274375
Multinomial NB,0.527181478,2000,0.553603578
